"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jfz1r03h11",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","02 Jan 2019 11:45:36 PST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
02-01 12:07:08,0.486,0.458,99.056,0.0,0.0,0.0,22412615680.0,321785856.0,9879285760.0,2.37823868928e+11,60.0,0.0,0.0,28672.0,0.0,6.0,1443.0,5207.0,0.370,0.830,1.210,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:09,0.739,0.376,98.857,0.0,0.0,0.028,22411980800.0,321785856.0,9879285760.0,2.37824503808e+11,60.0,0.0,0.0,69632.0,0.0,16.0,1901.0,6525.0,0.420,0.830,1.210,1.0,0.0,3.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:10,0.668,0.251,99.067,0.0,0.0,0.014,22411972608.0,321785856.0,9879293952.0,2.37824503808e+11,134.0,0.0,0.0,98304.0,0.0,18.0,1651.0,5416.0,0.420,0.830,1.210,2.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:11,0.972,0.736,98.278,0.0,0.0,0.014,22411792384.0,321785856.0,9879351296.0,2.37824626688e+11,134.0,0.0,0.0,98304.0,0.0,9.0,2148.0,16362.0,0.420,0.830,1.210,2.0,0.0,2.0,0.0,0.0,22.0,1256.0,0.0,1.0,0.0
02-01 12:07:12,1.153,0.598,98.193,0.0,0.0,0.056,22412402688.0,321785856.0,9879642112.0,2.37823725568e+11,60.0,0.0,0.0,61440.0,0.0,6.0,2491.0,13768.0,0.420,0.830,1.210,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:13,0.625,0.402,98.959,0.0,0.0,0.014,22411599872.0,321785856.0,9879658496.0,2.37824512e+11,60.0,0.0,0.0,102400.0,0.0,14.0,1608.0,5296.0,0.420,0.830,1.210,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:14,0.515,0.348,99.136,0.0,0.0,0.0,22410813440.0,321785856.0,9879658496.0,2.37825298432e+11,394.0,0.0,0.0,118784.0,0.0,15.0,1472.0,5916.0,0.470,0.840,1.210,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:15,0.653,0.403,98.916,0.014,0.0,0.014,22410919936.0,321785856.0,9879658496.0,2.37825191936e+11,60.0,0.0,0.0,102400.0,0.0,11.0,1652.0,5305.0,0.470,0.840,1.210,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:16,0.778,0.389,98.833,0.0,0.0,0.0,22410809344.0,321785856.0,9879662592.0,2.37825298432e+11,60.0,0.0,0.0,167936.0,0.0,34.0,1776.0,6503.0,0.470,0.840,1.210,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:17,0.541,0.444,99.015,0.0,0.0,0.0,22410428416.0,321785856.0,9879662592.0,2.3782567936e+11,60.0,0.0,0.0,3637248.0,0.0,62.0,1577.0,5336.0,0.470,0.840,1.210,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:18,0.528,0.361,99.097,0.0,0.0,0.014,22410031104.0,321785856.0,9879666688.0,2.37826072576e+11,60.0,0.0,0.0,28672.0,0.0,6.0,1435.0,4933.0,0.470,0.840,1.210,2.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:19,0.710,0.432,98.858,0.0,0.0,0.0,22410080256.0,321785856.0,9879666688.0,2.37826023424e+11,120.0,0.0,0.0,40960.0,0.0,8.0,1750.0,6167.0,0.430,0.820,1.200,1.0,0.0,3.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:20,0.598,0.306,99.082,0.0,0.0,0.014,22410600448.0,321785856.0,9879670784.0,2.37825499136e+11,60.0,0.0,0.0,73728.0,0.0,12.0,1690.0,5363.0,0.430,0.820,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:21,0.640,0.445,98.915,0.0,0.0,0.0,22409695232.0,321785856.0,9879670784.0,2.37826404352e+11,60.0,0.0,0.0,364544.0,0.0,23.0,1630.0,6476.0,0.430,0.820,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:22,0.570,0.333,99.083,0.0,0.0,0.014,22409015296.0,321785856.0,9879678976.0,2.37827076096e+11,130.0,0.0,0.0,28672.0,0.0,6.0,1396.0,5008.0,0.430,0.820,1.200,3.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:23,0.528,0.403,99.056,0.0,0.0,0.014,22410362880.0,321785856.0,9879678976.0,2.37825728512e+11,60.0,0.0,0.0,49152.0,0.0,10.0,1509.0,5055.0,0.430,0.820,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:24,0.695,0.389,98.915,0.0,0.0,0.0,22409818112.0,321785856.0,9879683072.0,2.37826269184e+11,60.0,0.0,0.0,40960.0,0.0,8.0,1563.0,6078.0,0.480,0.820,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:25,0.792,0.306,98.888,0.0,0.0,0.014,22409310208.0,321785856.0,9879683072.0,2.37826777088e+11,60.0,0.0,0.0,106496.0,0.0,10.0,1865.0,5669.0,0.480,0.820,1.200,3.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:26,0.474,0.376,99.136,0.0,0.0,0.014,22408916992.0,321785856.0,9879683072.0,2.37827170304e+11,60.0,0.0,0.0,81920.0,0.0,12.0,1757.0,6552.0,0.480,0.820,1.200,2.0,0.0,2.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:27,1.447,0.737,97.802,0.014,0.0,0.0,22419619840.0,321785856.0,9879691264.0,2.37816459264e+11,60.0,0.0,0.0,417792.0,0.0,29.0,2366.0,6408.0,0.480,0.820,1.200,1.0,0.0,24.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:28,0.527,0.444,99.002,0.0,0.0,0.028,22419410944.0,321785856.0,9879695360.0,2.37816664064e+11,60.0,0.0,0.0,32768.0,0.0,6.0,1543.0,4692.0,0.480,0.820,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:29,1.204,0.678,98.104,0.0,0.0,0.014,22420316160.0,321785856.0,9879695360.0,2.37815758848e+11,60.0,0.0,0.0,49152.0,0.0,10.0,2059.0,6757.0,0.520,0.830,1.200,1.0,0.0,3.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:30,0.848,0.375,98.749,0.0,0.0,0.028,22420275200.0,321785856.0,9879699456.0,2.37815795712e+11,60.0,0.0,0.0,147456.0,0.0,30.0,1838.0,5552.0,0.520,0.830,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:31,0.737,0.375,98.888,0.0,0.0,0.0,22419128320.0,321785856.0,9879703552.0,2.37816938496e+11,60.0,0.0,0.0,90112.0,0.0,13.0,1600.0,6179.0,0.520,0.830,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:32,0.625,0.361,99.000,0.0,0.0,0.014,22418825216.0,321785856.0,9879703552.0,2.378172416e+11,60.0,0.0,0.0,73728.0,0.0,10.0,1487.0,5334.0,0.520,0.830,1.200,2.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:33,0.528,0.416,99.042,0.0,0.0,0.014,22418718720.0,321785856.0,9879707648.0,2.37817344e+11,60.0,0.0,0.0,73728.0,0.0,10.0,1567.0,4970.0,0.520,0.830,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:34,0.640,0.431,98.915,0.0,0.0,0.014,22418083840.0,321785856.0,9879707648.0,2.3781797888e+11,60.0,0.0,0.0,106496.0,0.0,16.0,1422.0,6056.0,0.560,0.830,1.200,2.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:35,0.736,0.403,98.847,0.0,0.0,0.014,22419140608.0,321785856.0,9879711744.0,2.37816918016e+11,60.0,0.0,0.0,90112.0,0.0,16.0,2420.0,5416.0,0.560,0.830,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:36,0.819,0.458,98.723,0.0,0.0,0.0,22418493440.0,321785856.0,9879711744.0,2.37817565184e+11,60.0,0.0,0.0,81920.0,0.0,12.0,1850.0,6836.0,0.560,0.830,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:37,0.555,0.361,99.083,0.0,0.0,0.0,22418583552.0,321785856.0,9879711744.0,2.37817475072e+11,60.0,0.0,0.0,1146880.0,0.0,38.0,1515.0,5336.0,0.560,0.830,1.200,2.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:38,0.473,0.334,99.194,0.0,0.0,0.0,22418833408.0,321785856.0,9879715840.0,2.3781722112e+11,60.0,0.0,0.0,28672.0,0.0,6.0,1322.0,4882.0,0.560,0.830,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:39,0.712,0.307,98.981,0.0,0.0,0.0,22419292160.0,321785856.0,9879715840.0,2.37816762368e+11,60.0,0.0,0.0,24576.0,0.0,4.0,1662.0,6528.0,0.590,0.830,1.200,2.0,0.0,3.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:40,0.791,0.319,98.875,0.0,0.0,0.014,22418792448.0,321785856.0,9879719936.0,2.37817257984e+11,60.0,0.0,0.0,24576.0,0.0,4.0,1595.0,5289.0,0.590,0.830,1.200,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:41,0.474,0.279,99.247,0.0,0.0,0.0,22418554880.0,321785856.0,9879724032.0,2.37817491456e+11,60.0,0.0,0.0,401408.0,0.0,21.0,1478.0,5606.0,0.590,0.830,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:42,0.527,0.402,99.071,0.0,0.0,0.0,22418149376.0,321785856.0,9879728128.0,2.37817892864e+11,120.0,0.0,0.0,28672.0,0.0,6.0,1350.0,4929.0,0.590,0.830,1.200,2.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:43,0.418,0.265,99.304,0.0,0.0,0.014,22418624512.0,321785856.0,9879728128.0,2.37817417728e+11,120.0,0.0,0.0,16384.0,0.0,4.0,1410.0,4868.0,0.590,0.830,1.200,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:44,0.805,0.458,98.737,0.0,0.0,0.0,22418112512.0,321785856.0,9879732224.0,2.37817925632e+11,120.0,0.0,0.0,61440.0,0.0,14.0,1507.0,6181.0,0.540,0.820,1.190,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:45,0.694,0.514,98.764,0.0,0.0,0.028,22419001344.0,321785856.0,9879732224.0,2.378170368e+11,60.0,0.0,0.0,69632.0,0.0,10.0,1726.0,5486.0,0.540,0.820,1.190,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:46,0.750,0.472,98.778,0.0,0.0,0.0,22419116032.0,321785856.0,9879736320.0,2.37816918016e+11,120.0,0.0,0.0,438272.0,0.0,15.0,1706.0,6438.0,0.540,0.820,1.190,2.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:47,0.458,0.486,99.056,0.0,0.0,0.0,22419554304.0,321785856.0,9879736320.0,2.37816479744e+11,60.0,0.0,0.0,430080.0,0.0,24.0,1549.0,5176.0,0.540,0.820,1.190,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:48,0.569,0.361,99.070,0.0,0.0,0.0,22419185664.0,321785856.0,9879736320.0,2.37816848384e+11,120.0,0.0,0.0,28672.0,0.0,6.0,1394.0,4990.0,0.540,0.820,1.190,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:49,0.944,0.472,98.570,0.0,0.0,0.014,22419726336.0,321785856.0,9879740416.0,2.37816303616e+11,60.0,0.0,0.0,45056.0,0.0,8.0,1893.0,6557.0,0.500,0.810,1.190,1.0,0.0,3.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:50,0.846,0.485,98.641,0.0,0.0,0.028,22419062784.0,321785856.0,9879740416.0,2.37816967168e+11,60.0,0.0,0.0,94208.0,0.0,16.0,1801.0,5391.0,0.500,0.810,1.190,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:51,0.708,0.458,98.819,0.0,0.0,0.014,22418931712.0,321785856.0,9879744512.0,2.37817094144e+11,60.0,0.0,0.0,487424.0,0.0,39.0,1594.0,6415.0,0.500,0.810,1.190,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:52,0.445,0.334,99.221,0.0,0.0,0.0,22419439616.0,321785856.0,9879744512.0,2.3781658624e+11,60.0,0.0,0.0,28672.0,0.0,6.0,1328.0,4874.0,0.500,0.810,1.190,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:53,0.473,0.431,99.069,0.0,0.0,0.028,22419955712.0,321785856.0,9879748608.0,2.37816066048e+11,60.0,0.0,0.0,20480.0,0.0,4.0,1667.0,5014.0,0.500,0.810,1.190,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:54,0.846,0.430,98.696,0.014,0.0,0.014,22419947520.0,321785856.0,9879748608.0,2.3781607424e+11,60.0,0.0,0.0,40960.0,0.0,8.0,1673.0,6182.0,0.460,0.790,1.180,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:55,0.751,0.334,98.874,0.0,0.0,0.042,22420074496.0,321785856.0,9879748608.0,2.37815947264e+11,60.0,0.0,0.0,69632.0,0.0,10.0,1827.0,5524.0,0.460,0.790,1.180,2.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:56,0.736,0.541,98.709,0.0,0.0,0.014,22419394560.0,321785856.0,9879752704.0,2.37816623104e+11,386.0,313.0,0.0,81920.0,0.0,12.0,1865.0,6718.0,0.460,0.790,1.180,3.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:57,0.445,0.320,99.235,0.0,0.0,0.0,22419361792.0,321785856.0,9879752704.0,2.37816655872e+11,60.0,0.0,0.0,491520.0,0.0,24.0,1686.0,5378.0,0.460,0.790,1.180,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:58,0.611,0.333,99.056,0.0,0.0,0.0,22419197952.0,321785856.0,9879756800.0,2.37816815616e+11,334.0,0.0,0.0,28672.0,0.0,6.0,1486.0,5192.0,0.460,0.790,1.180,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:07:59,1.178,0.499,98.295,0.0,0.0,0.028,22419648512.0,321785856.0,9879760896.0,2.3781636096e+11,60.0,0.0,0.0,200704.0,0.0,22.0,2200.0,6398.0,0.420,0.780,1.170,1.0,0.0,3.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:00,0.848,0.375,98.776,0.0,0.0,0.0,22419337216.0,321785856.0,9879764992.0,2.3781666816e+11,60.0,0.0,0.0,270336.0,0.0,29.0,1786.0,5822.0,0.420,0.780,1.170,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:01,0.516,0.265,99.192,0.0,0.0,0.028,22419378176.0,321785856.0,9879769088.0,2.37816623104e+11,120.0,42.0,0.0,188416.0,0.0,16.0,1677.0,6042.0,0.420,0.780,1.170,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:02,0.487,0.334,99.179,0.0,0.0,0.0,22419406848.0,321785856.0,9879773184.0,2.37816590336e+11,60.0,0.0,0.0,237568.0,0.0,13.0,1597.0,5304.0,0.420,0.780,1.170,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:03,0.473,0.362,99.166,0.0,0.0,0.0,22418817024.0,321785856.0,9879773184.0,2.3781718016e+11,60.0,0.0,0.0,245760.0,0.0,15.0,1556.0,5122.0,0.420,0.780,1.170,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:04,0.571,0.320,99.109,0.0,0.0,0.0,22418583552.0,321785856.0,9879777280.0,2.37817409536e+11,60.0,0.0,0.0,249856.0,0.0,15.0,1509.0,5707.0,0.390,0.770,1.170,1.0,0.0,0.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:05,0.737,0.320,98.902,0.0,0.0,0.042,22418632704.0,321785856.0,9879777280.0,2.37817360384e+11,60.0,0.0,0.0,233472.0,0.0,20.0,1808.0,5424.0,0.390,0.770,1.170,1.0,0.0,1.0,0.0,0.0,22.0,1256.0,0.0,7.0,0.0
02-01 12:08:06,1.139,0.681,98.167,0.0,0.0,0.014,22437842944.0,321785856.0,9879810048.0,2.37798117376e+11,218909.0,7293.0,0.0,258048.0,0.0,11.0,2859.0,7748.0,0.390,0.770,1.170,4.0,0.0,80.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:07,0.556,0.389,99.054,0.0,0.0,0.0,22428274688.0,321785856.0,9879810048.0,2.37807685632e+11,1028.0,8078.0,0.0,3129344.0,0.0,58.0,1636.0,4646.0,0.390,0.770,1.170,1.0,0.0,5.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:08,0.597,0.402,99.001,0.0,0.0,0.0,22428585984.0,321785856.0,9879814144.0,2.3780737024e+11,60.0,0.0,0.0,28672.0,0.0,6.0,1489.0,5323.0,0.390,0.770,1.170,2.0,0.0,0.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:09,0.766,0.362,98.858,0.0,0.0,0.014,22428618752.0,321785856.0,9879818240.0,2.37807333376e+11,60.0,0.0,0.0,94208.0,0.0,18.0,1999.0,6590.0,0.360,0.750,1.160,3.0,0.0,3.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:10,0.765,0.348,98.873,0.0,0.0,0.014,22432321536.0,321785856.0,9879822336.0,2.37803626496e+11,94790.0,908.0,0.0,118784.0,0.0,18.0,1692.0,5391.0,0.360,0.750,1.160,2.0,0.0,3.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:11,1.693,0.819,97.405,0.0,0.0,0.083,22429724672.0,321785856.0,9879904256.0,2.3780614144e+11,74886.0,3096.0,0.0,143360.0,0.0,7.0,2900.0,17487.0,0.360,0.750,1.160,2.0,0.0,10.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:12,1.697,0.668,97.594,0.0,0.0,0.042,22435250176.0,321785856.0,9880178688.0,2.37800341504e+11,151772.0,9612.0,0.0,229376.0,0.0,14.0,3455.0,14595.0,0.360,0.750,1.160,2.0,0.0,40.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:13,0.541,0.486,98.959,0.0,0.0,0.014,22433632256.0,321785856.0,9880178688.0,2.37801959424e+11,60.0,0.0,0.0,69632.0,0.0,10.0,1592.0,4760.0,0.360,0.750,1.160,1.0,0.0,1.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:14,1.072,0.557,98.372,0.0,0.0,0.0,22437842944.0,321785856.0,9880182784.0,2.3779774464e+11,140068.0,2452.0,0.0,184320.0,0.0,14.0,2010.0,6600.0,0.330,0.740,1.150,1.0,0.0,12.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:15,0.945,0.584,98.457,0.014,0.0,0.0,22437478400.0,321785856.0,9880219648.0,2.3779807232e+11,34651.0,18331.0,0.0,2150400.0,0.0,179.0,2683.0,6187.0,0.330,0.740,1.150,1.0,0.0,37.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:16,0.515,0.334,99.151,0.0,0.0,0.0,22436003840.0,321785856.0,9880195072.0,2.37799571456e+11,120.0,0.0,0.0,974848.0,0.0,12.0,1689.0,6362.0,0.330,0.740,1.150,7.0,0.0,0.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:17,0.376,0.376,99.221,0.0,0.0,0.028,22435229696.0,321785856.0,9880195072.0,2.378003456e+11,60.0,0.0,0.0,716800.0,0.0,27.0,1462.0,5294.0,0.330,0.740,1.150,1.0,0.0,1.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:18,1.042,0.625,98.318,0.0,0.0,0.014,22437748736.0,321785856.0,8877498368.0,2.38800523264e+11,79082.0,1264.0,0.0,311296.0,0.0,6.0,1948.0,5384.0,0.330,0.740,1.150,2.0,0.0,11.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:19,1.781,0.696,97.439,0.0,0.0,0.084,22429437952.0,321785856.0,8877477888.0,2.38808854528e+11,126.0,161.0,0.0,81920.0,0.0,18.0,2775.0,6489.0,0.300,0.730,1.150,2.0,0.0,39.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:20,2.026,0.555,97.350,0.0,0.0,0.069,22452506624.0,321785856.0,8869797888.0,2.38793465856e+11,192.0,615.0,0.0,389120.0,0.0,18.0,2207.0,5784.0,0.300,0.730,1.150,2.0,0.0,6.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:21,1.616,0.543,97.826,0.014,0.0,0.0,22453477376.0,321785856.0,8831500288.0,2.38830792704e+11,266.0,4826.0,0.0,1794048.0,0.0,28.0,1936.0,6042.0,0.300,0.730,1.150,3.0,0.0,1.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:22,1.721,0.541,97.710,0.0,0.0,0.028,22452117504.0,321851392.0,8831434752.0,2.38832152576e+11,120.0,0.0,0.0,28672.0,0.0,6.0,1680.0,4935.0,0.300,0.730,1.150,2.0,0.0,0.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:23,1.498,0.929,97.503,0.042,0.0,0.028,22444716032.0,321851392.0,8722350080.0,2.3894863872e+11,192.0,3872.0,0.0,8228864.0,0.0,15.0,2083.0,5488.0,0.300,0.730,1.150,3.0,0.0,1.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:24,1.874,0.805,97.294,0.0,0.0,0.028,22442778624.0,321851392.0,8667889664.0,2.39005036544e+11,324.0,7201.0,0.0,5517312.0,0.0,14.0,2053.0,6654.0,0.440,0.750,1.150,2.0,0.0,0.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:25,1.803,0.791,97.379,0.014,0.0,0.014,22438273024.0,321851392.0,8573775872.0,2.39103655936e+11,382.0,2960.0,0.0,3325952.0,0.0,16.0,2363.0,5680.0,0.440,0.750,1.150,2.0,0.0,1.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:26,1.519,0.724,97.715,0.014,0.0,0.028,22430609408.0,321851392.0,8494694400.0,2.39190401024e+11,324.0,10221.0,0.0,13074432.0,0.0,329.0,2503.0,6811.0,0.440,0.750,1.150,3.0,0.0,1.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:27,1.263,0.819,97.904,0.0,0.0,0.014,22383349760.0,321851392.0,8397479936.0,2.39334875136e+11,882.0,43737.0,0.0,3305472.0,0.0,29.0,2103.0,5993.0,0.440,0.750,1.150,2.0,0.0,4.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:28,0.445,0.361,99.194,0.0,0.0,0.0,22381211648.0,321851392.0,8397316096.0,2.39337177088e+11,258.0,252.0,0.0,32768.0,0.0,6.0,1385.0,4910.0,0.440,0.750,1.150,2.0,0.0,0.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:29,0.697,0.335,98.954,0.0,0.0,0.014,22379921408.0,321851392.0,8397316096.0,2.39338467328e+11,60.0,0.0,0.0,110592.0,0.0,20.0,1956.0,6203.0,0.480,0.750,1.150,1.0,0.0,3.0,0.0,0.0,22.0,1257.0,0.0,7.0,0.0
02-01 12:08:30,1.153,0.764,98.069,0.0,0.0,0.014,22396284928.0,321851392.0,8397312000.0,2.39322107904e+11,78688.0,1216.0,0.0,221184.0,0.0,30.0,3499.0,12140.0,0.480,0.750,1.150,1.0,0.0,57.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:31,0.779,0.362,98.817,0.0,0.0,0.042,22392160256.0,321851392.0,8397381632.0,2.39326162944e+11,60.0,0.0,0.0,94208.0,0.0,11.0,2145.0,6798.0,0.480,0.750,1.150,1.0,0.0,11.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:32,0.737,1.098,98.109,0.014,0.0,0.042,22413234176.0,321851392.0,8397451264.0,2.39305019392e+11,398.0,1.84467440737e+19,0.0,143360.0,0.0,10.0,3508.0,10243.0,0.480,0.750,1.150,1.0,0.0,18.0,0.0,0.0,22.0,1259.0,0.0,7.0,0.0
02-01 12:08:33,1.447,1.141,97.329,0.0,0.0,0.083,22408134656.0,321851392.0,8397504512.0,2.39310065664e+11,90789.0,10482.0,0.0,339968.0,0.0,21.0,4799.0,10153.0,0.480,0.750,1.150,3.0,0.0,260.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:34,1.045,1.672,97.241,0.0,0.0,0.042,22409388032.0,321851392.0,8397565952.0,2.39308750848e+11,786.0,27130.0,0.0,139264.0,0.0,14.0,8306.0,12117.0,0.530,0.760,1.150,3.0,0.0,900.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:35,2.121,1.483,96.133,0.0,0.0,0.263,22424268800.0,321851392.0,8397627392.0,2.3929380864e+11,852.0,47788.0,0.0,131072.0,0.0,18.0,6381.0,13427.0,0.530,0.760,1.150,2.0,0.0,1007.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:36,1.057,1.683,97.190,0.0,0.0,0.070,22421942272.0,321851392.0,8397680640.0,2.3929608192e+11,978.0,40022.0,0.0,139264.0,0.0,12.0,9367.0,14794.0,0.530,0.760,1.150,2.0,0.0,962.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
02-01 12:08:37,0.847,1.667,97.333,0.042,0.0,0.111,22417752064.0,321851392.0,8397717504.0,2.39300235264e+11,846.0,29673.0,0.0,15106048.0,0.0,82.0,6016.0,10581.0,0.530,0.760,1.150,3.0,0.0,605.0,0.0,0.0,22.0,1258.0,0.0,7.0,0.0
